team,xP,group,norm_points,neutral,group_rank
Portugal,8.280673494957263,F,90.15278462296698,1,1
Belgium,8.277952818726732,E,94.37519602132711,1,1
England,8.17727784881108,C,94.34562480397868,1,1
Germany,7.910513365885201,A,80.84233164568306,0,1
France,7.8667138468331945,D,98.43989426049554,1,1
Spain,6.869320204535649,B,88.30592768493212,1,1
Netherlands,5.862209654289787,D,89.63125588063981,1,2
Italy,5.83639824701782,B,88.04605941126394,1,2
Denmark,5.254431977120409,C,77.12442313723733,1,2
Switzerland,5.1773448267152915,A,78.3511806084502,1,2
Ukraine,5.034374605309669,E,74.09023701778753,1,2
Czechia,4.849192882224916,F,68.05143599623639,1,2
Croatia,4.79625612633877,B,87.7297369953851,1,3
Turkey,3.7873272560286035,F,67.55589408127605,1,3
Serbia,3.2465736832841032,C,69.19216810789015,1,3
Hungary,3.157530715372799,A,70.80514359962365,1,3
Romania,2.8804975336201615,E,65.06743133652942,1,3
Austria,2.758014668410851,D,72.83570052421703,1,3
Slovakia,1.8071750423434367,E,64.47421479456965,1,4
Scotland,1.7546110920267082,A,67.692100900578,1,4
Poland,1.5130618304661676,D,70.7415206774497,1,4
Slovenia,1.3217164907844066,C,61.453470137550966,1,4
Georgia,1.0828063667892178,F,53.0229849007572,1,4
Albania,0.4980254221077597,B,56.7274519467718,1,4
