team,xP
Portugal,7.640674949820191
Belgium,7.621002510943987
England,7.5385725408526625
France,7.293053121014214
Spain,6.64055113516965
Germany,6.578252535357164
Italy,5.618913303021381
Netherlands,5.577901007543117
Switzerland,5.35535030949966
Denmark,5.149615323691108
Ukraine,4.986851907067685
Czechia,4.875181752650546
Croatia,4.592537918518599
Turkey,3.833326165369446
Hungary,3.672445798562168
Serbia,3.473616177368563
Romania,3.220686992435261
Austria,3.1500655818140153
Scotland,2.393951356581007
Slovakia,2.171458589553067
Poland,1.9789802896286544
Slovenia,1.838195958087666
Georgia,1.6508171321598177
Albania,1.14799764329037
